Student_id,Student Name,Marathi,Urdu,Hindi,English,History,Science,Geography,Drawing,Sports,Environmental Studies,Math,Computer
S2025001,Adhav Aarya Sunil ,32,90,34,71,55,54,29,90,49,82,80,70
S2025002,Singh Ankit Raju,55,30,46,69,55,72,76,39,50,44,82,56
S2025003,Faujdar Krishna Ramanan,55,43,80,56,72,79,54,67,77,59,60,50
S2025004,Mishra Saumiya Rohit,42,52,20,41,50,95,80,63,55,83,72,52
S2025005,Gupta Yash Ramdev,66,70,54,39,50,60,72,70,90,66,90,59
S2025006,Nayek Satya Mishra,65,59,78,77,65,44,30,46,92,55,43,34
S2025007,Walia Yuvraj Aditya,34,46,38,43,47,40,55,47,39,60,50,59
S2025008,Vishnu Priya Ganta,76,53,66,93,54,80,67,45,82,76,77,89
S2025009,Sagarla Akhila Gurudev,62,40,21,54,43,65,81,80,50,60,31,95
S2025010,Pareek Harshit Raj,70,57,49,43,40,30,55,50,43,30,38,40
S2025011,Midthala Vijay Kumar,78,64,66,78,31,65,42,50,44,78,60,40
S2025012,Jain Naman Dinesh,44,66,72,32,44,56,67,90,54,45,76,46
S2025013,Gorasa Nikhil Rajesh,76,66,82,68,52,78,38,92,71,55,35,42
S2025014,Patil  Shivani Krishna,30,90,62,26,41,51,76,51,66,64,79,55
S2025015,Kumar Amitesh Raja,21,44,90,50,78,80,99,43,58,44,80,90
S2025016,Singh Manisha Chand,40,49,50,34,44,59,40,56,50,47,61,57
S2025017,Vishnoi Tanya Sunil,55,65,93,56,67,82,77,78,67,25,93,70
S2025018,Yadav Lalit Sahil,66,43,40,44,51,77,76,34,54,31,39,80
S2025019,Kulkarni Priya Mohit,44,79,62,48,54,85,66,55,69,71,43,70
S2025020,Gole Manali Rajesh,61,50,42,66,84,50,58,40,79,33,92,80
S2025021,Kumar Durgesh Chandan,63,54,57,67,40,55,90,78,40,32,78,90
S2025022,Diwakar Vivek Dhanu,43,51,41,50,66,83,79,70,72,45,55,69
S2025023,Patil Bishal Sachin,50,49,43,59,61,44,50,39,52,46,54,70
S2025024,Kadu Rajesh Rahul,24,33,55,41,78,30,89,83,10,42,61,75
S2025025,Jain Rohit Dinesh,40,35,50,67,41,45,46,49,35,30,50,55
S2025026,Kumbhare Dnyaneshwar Raj,50,51,67,77,60,77,45,37,70,65,55,39
S2025027,Kanakala Janhavi Saurabh,40,51,49,74,90,45,62,80,54,34,66,50
S2025028,Parmar Narayana Amitesh,50,43,52,40,56,45,65,34,50,62,77,55
S2025029,Sawant Siddhi Shubham,28,69,50,33,74,85,38,60,90,50,83,77
S2025030,Maurya Vibhavi Tarun,36,50,30,54,70,40,45,56,49,35,52,44
